,pos,neg,neutral,num_tweets,Pos
Christian McCaffrey,0.7449999999999999,0.222,0.0,10.0,RB
Derrick Henry,2.3069999999999995,0.484,0.0,27.0,RB
Aaron Jones,0.879,0.74,0.0,80.0,RB
Ezekiel Elliott,0.568,0.0,0.0,6.0,RB
Dalvin Cook,1.423,0.181,0.0,13.0,RB
Nick Chubb,2.238,1.17,0.0,67.0,RB
Austin Ekeler,0.951,0.0,0.0,6.0,RB
Mark Ingram,0.8089999999999999,0.0,0.0,6.0,RB
Chris Carson,2.4199999999999995,0.086,0.0,21.0,RB
Saquon Barkley,0.568,0.184,0.0,9.0,RB
Todd Gurley,0.568,0.18,0.0,7.0,RB
Leonard Fournette,1.16,0.092,0.0,7.0,RB
Josh Jacobs,1.388,0.5820000000000001,0.0,82.0,RB
Alvin Kamara,0.568,0.766,0.0,11.0,RB
Miles Sanders,2.0869999999999997,0.359,0.0,16.0,RB
Marlon Mack,1.479,0.401,0.0,11.0,RB
Phillip Lindsay,1.3209999999999997,0.5660000000000001,0.0,14.0,RB
Kenyan Drake,0.568,0.476,0.0,7.0,RB
Raheem Mostert,0.568,0.0,0.0,6.0,RB
Le'Veon Bell,1.078,0.13,0.0,11.0,RB
Michael Thomas,2.29,0.918,0.0,66.0,WR
Chris Godwin,2.5580000000000003,0.41000000000000003,0.0,27.0,WR
Kenny Golladay,0.568,0.0,0.0,7.0,WR
Cooper Kupp,1.189,0.091,0.0,10.0,WR
Julio Jones,0.879,0.74,0.0,80.0,WR
DeVante Parker,0.714,0.329,0.0,12.0,WR
Amari Cooper,1.555,0.8029999999999999,0.0,20.0,WR
A.J. Brown,2.336,0.781,0.0,19.0,WR
Mike Evans,2.4130000000000003,1.028,0.0,46.0,WR
DeAndre Hopkins,2.4949999999999997,1.5869999999999997,0.0,69.0,WR
Keenan Allen,5.607000000000002,3.659,0.0,48.0,WR
Allen Robinson,1.95,2.0380000000000003,0.0,25.0,WR
Jarvis Landry,0.568,0.0,0.0,6.0,WR
Julian Edelman,0.568,0.351,0.0,8.0,WR
Tyler Lockett,0.568,0.0,0.0,7.0,WR
DJ Chark,0.568,0.0,0.0,7.0,WR
Courtland Sutton,0.6549999999999999,0.318,0.0,12.0,WR
Stefon Diggs,1.7359999999999998,0.7899999999999999,0.0,21.0,WR
John Brown,2.336,0.781,0.0,19.0,WR
Michael Gallup,0.568,0.0,0.0,5.0,WR
Travis Kelce,1.508,0.504,0.0,25.0,TE
Mark Andrews,1.256,0.167,0.0,13.0,TE
George Kittle,2.835,1.299,0.0,39.0,TE
Darren Waller,0.69,0.372,0.0,18.0,TE
Zach Ertz,1.146,0.288,0.0,10.0,TE
Jared Cook,1.423,0.181,0.0,13.0,TE
Austin Hooper,0.568,0.3,0.0,7.0,TE
Hunter Henry,2.3069999999999995,0.484,0.0,27.0,TE
Tyler Higbee,1.004,0.6739999999999999,0.0,17.0,TE
Dallas Goedert,0.731,0.0,0.0,6.0,TE
Mike Gesicki,0.568,0.121,0.0,11.0,TE
Darren Fells,0.568,0.0,0.0,5.0,TE
Jason Witten,0.568,0.0,0.0,5.0,TE
Kyle Rudolph,0.721,0.39599999999999996,0.0,8.0,TE
Greg Olsen,0.568,0.0,0.0,5.0,TE
Noah Fant,0.568,0.0,0.0,9.0,TE
Jonnu Smith,2.292,0.515,0.0,23.0,TE
Jack Doyle,0.568,0.0,0.0,5.0,TE
Evan Engram,0.8779999999999999,0.477,0.0,10.0,TE
Jimmy Graham,0.568,0.0,0.0,5.0,TE
Lamar Jackson,1.2149999999999999,0.35,0.0,21.0,QB
Dak Prescott,1.2510000000000001,0.789,0.0,65.0,QB
Russell Wilson,2.2990000000000004,0.504,0.0,57.0,QB
Deshaun Watson,2.4640000000000004,0.349,0.0,59.0,QB
Jameis Winston,0.945,0.32,0.0,13.0,QB
Patrick Mahomes,2.956,0.8799999999999999,0.0,33.0,QB
Josh Allen,5.607000000000002,3.659,0.0,48.0,QB
Kyler Murray,3.3610000000000007,1.023,0.0,69.0,QB
Aaron Rodgers,1.9579999999999997,0.506,0.0,22.0,QB
Carson Wentz,4.626,1.7640000000000002,0.0,47.0,QB
Matt Ryan,1.008,0.188,0.0,14.0,QB
Tom Brady,3.2279999999999998,2.662,0.0,29.0,QB
Jared Goff,1.172,0.454,0.0,11.0,QB
Derek Carr,1.1179999999999999,0.477,0.0,12.0,QB
Jimmy Garoppolo,0.568,0.0,0.0,6.0,QB
Kirk Cousins,0.568,0.182,0.0,7.0,QB
Ryan Fitzpatrick,0.587,0.0,0.0,7.0,QB
Philip Rivers,0.858,1.01,0.0,18.0,QB
Baker Mayfield,0.7629999999999999,0.0,0.0,8.0,QB
Drew Brees,2.09,0.258,0.0,24.0,QB
